"Artist","Song","Популярность в США","Популярность в СНГ"
"Nirvana","Smells like Teen Spirit","47.29","7.45"
"AC/DC","Highway to Hell","28.08","0.82"
"Led Zeppelin","Smoke on the Water","16.21","3.31"
"Deep Purple","Brick in the Wall","15.55","2.96"
"Michael Jackson","You are not Alone","11.27","1.19"
"Muse","Hysteria","23.24","0.58"
"Skrillex","Kill Everybody","11.38","2.9"
"Slipknot","Unsainted","14.03","2.85"
"Stone Sour","Through the Glass","14.59","2.26"
"Avenged Sevenfold","Afterlife","26.93","0.47"
"Three Days Grace","Animal I have become","9.07","2.75"
"Bullet for my Valentine","Fever","9.81","1.92"
"Slash","Anastasia","9","0.71"
"Slayer","Raining Blood","8.94","2.15"
"Five Finger Death Punch","Bleeding","9.09","1.79"
"Fozzy","Sandpaper","14.97","1.67"
"Bon Jovi","It's My Life","7.01","4.14"
"Motionless in White","Headache","9.43","10.57"
"Falling in Reverse","Silence","12.78","0.55"
"Metallica","One","4.75","2.05"
"Korn","Cold","6.42","1.37"
"IAMX","Solway Firth","10.83","0.42"
"Caligula's Horse","Why not?","9.54","0.46"
"The Killers","Stop it","9.63","1.38"
"Halfives","I can't take this anymore","8.41","1.78"
"Blueshift","Snow","6.06","0.5"
"Soilwork","Hello","5.57","0.82"
"Soul Extract","Here we go again","3.44","1.18"
"Infant Annihilator","Incredible","6.85","1.16"
"Red","Summer","9.03","1.32"
"Ocean Grove","Cold Reader","5.89","0.59"
"Stigmata","Well","9.67","1.13"
"Кино","Группа крови","5.17","0.79"
"Баста","Мама","5.77","2.31"
"Каста","Вокруг шум","4.99","2.52"
"Oxxymiron","А я и не знал","8.25","1.12"
"Emmure","WTF?","8.52","1.29"
"RAMMSTEIN","Deutschland","5.54","1.62"
"Emograte","New-York","6.99","1.3"
"Oomph!","Clown","6.75","1.02"
"Fit for a King","Nice boobs","5.98","1.83"
"Code Orange","I don't want this","2.55","0.88"
"Aviators","Anymore","4.74","0.89"
"Kodaline","Rufuss","7.97","1.21"
"Led Zeppelin","Mann","3.8","2.02"
"Deep Purple","Stupid things","4.4","0.77"
"Michael Jackson","You're strange","6.91","0.23"
"Muse","Zombie","3.01","7.53"
"Ocean Grove","Plague","6.16","0.76"
"Stigmata","No more","4.23","0.65"
"Кино","Спокойная ночь","6.16","0.29"
"Баста","Моя игра","6.76","1.03"
"Bullet for my Valentine","Smells like Teen Spirit","4.02","0.52"
"Slash","Highway to Hell","4.89","0.78"
"Slayer","Smoke on the Water","2.96","2.12"
"Five Finger Death Punch","Brick in the Wall","4.99","1.63"
"Fozzy","You are not Alone","4.76","1.62"
"Bon Jovi","Hysteria","5.99","0.29"
"Motionless in White","Kill Everybody","4.34","0.35"
"Falling in Reverse","Unsainted","5.08","0.98"
"The Killers","Through the Glass","6.05","1.07"
"Halfives","Afterlife","6.72","0.82"
"Blueshift","Animal I have become","7.03","0.78"
"Soilwork","Fever","5.55","0.15"
"Soul Extract","Anastasia","3.66","0.63"
"Infant Annihilator","Raining Blood","6.63","0.73"
"Red","Bleeding","3.01","0.96"
"Ocean Grove","Sandpaper","4.09","1.38"
"Stigmata","It's My Life","5.84","0.78"
"Кино","Headache","3.88","0.5"
"Баста","Silence","5.91","0.9"
"Каста","One","4.36","0.23"
"Oxxymiron","Cold","5.58","0.77"
